id,title,description,event_category,start_date,end_date,location,street,city,state,zip
33,"DCL Presents: Jodi Picoult","Douglas County Libraries is excited to host Jodi Picoult, New York Times bestselling author of many beloved novels including My Sister's Keeper, Nineteen Minutes, and Small Great Things. Ms. Picoult will be in conversation with NYT bestselling author Eleanor Brown. Ticket includes a seat at the author's presentation, dessert bites, a pre-signed paperback copy of A Spark of Light, and a place in the photo line.",community,"2019-09-24 19:00:00","2019-09-24 23:00:00",NULL,"10035 Peoria Street",Parker,CO,80134
34,"The Company Men","Join the Lone Tree Arts Center on Saturday, September 23rd at 8pm to officially open the season with the Company Men. Featuring performers from Broadway and National Touring companies of Hairspray, The Lion King, Jesus Christ Superstar, Camelot, and the Emmy Award-winning NBC mini-series The Temptations, the Company Men bring a signature throwback sound, contemporary look, and an all-star band. Prior to the show, the Lone Tree Arts Center Guild is hosting an opening night gala. Don't miss the Company Men on Saturday, September 23rd at 8pm.",music,"2017-09-23 06:00:00","2017-09-23 06:00:00","Lone Tree Arts Center","10075 Commons Street","Lone Tree",CO,80124
35,"Highlands Ranch Oktoberfest","Gather your family and friends together for this great cultural event , the Highlands Ranch Oktoberfest on September 22nd starting at 2:00 pm and ending at 10:00 pm located in the Highlands Ranch Town Center.  There will be lots of German food, music, and, of course, great biers from Paulaner. And don't forget the live entertainment! It’s an evening of non-stop entertainment for the kids, too. Children will enjoy magic, balloons, and games until their hearts are content.",community,"2018-09-22 02:00:00","2018-09-22 10:00:00",NULL,"9288 Dorchester St.","Highlands Ranch",CO,80129
36,"Doggie Yoga","Yoga relieves stress, lowers blood pressure, and helps improve your mood. But yoga with dogs? Double the benefits!

Join the HRCA as we partner with the Humane Society of the South Platte Valley for Doggie Yoga. Proceeds from each ticket will be donated to HSSPV. Be sure to bring extra cash since the dogs will be collecting donations during yoga! 

The class will start at 9:30 a.m. and will be followed by mingling, breakfast snacks, and puppy love around 10:15 a.m. Yoga will be taught by HRCA's popular Yoga Instructor, Kristi!

Attendees must be 13+ to participate in this event and participants ages 13-17 must have a parent or guardian present at the event to sign a waiver. 

Doggie Yoga is an outdoor event and will be held rain or shine! 

This event is to help dogs from HSSPV get adopted - NO OUTSIDE PETS ARE ALLOWED!",community,"2019-09-15 00:00:00","2019-09-15 00:00:00",NULL,"8800 Broadway","Highlands Ranch",CO,80126
37,"Blind Boys of Alabama","The Blind Boys of Alabama will be at the Lone Tree Arts Center on Friday, September 15th at 8pm. The Blind Boys of Alabama are not just gospel singers borrowing from old traditions; the group helped to define those traditions in the 20th century and almost single-handedly created a new gospel sound for the 21st century. Don't miss your chance to see these living legends on September 15th at the Lone Tree Arts Center!",music,"2017-09-15 06:00:00","2017-09-15 06:00:00","Lone Tree Arts Center","10075 Commons Street","Lone Tree",CO,80124
38,"First Contact: Discovery in the New Guinea Heartland","Hear about the remarkable 1974 expedition that led to the first contact with Citak warriors in Indonesian New Guinea from the discovery team's co-leader, Peter Van Arsdale. Van Arsdale, Ph.D, is an applied anthropologist and professor at University of Denver. He will talk about the expedition and share slides and film footage. TEENS & ADULTS. REGISTER NOW.",community,"2019-09-12 18:30:00","2019-09-12 20:00:00",NULL,"9292 S. Ridgeline Blvd","Highlands Ranch",CO,80129
39,"Alpine Search & Rescue: Lessons from Hikes Gone Wrong","Stay safe in Colorado's backcountry while hiking, biking, skiing or enjoying time in the mountains with insights and tips from Dean Rosnau, a seasoned search and rescue worker who spent 34 years working in the Sierras. His book, The Shortest Straw, will be on sale at the event. ADULTS. REGISTER NOW.",community,"2019-09-11 18:30:00","2019-09-11 20:00:00",NULL,"9292 S. Ridgeline Blvd","Highlands Ranch",CO,80129
40,"The Alpaca Farm Show","Mark your calendars for AlpacaBuddies' Alpaca Farm Show! Alpacas, and the fiber they create, in various forms, will be there, hope you stop by to learn more about raising, owning, and the life of Alpacas! The event will take place at the Douglas County Fairgrounds on September 9th, and 10th from 10:00 AM to 4:00 PM.",general,"2017-09-09 06:00:00","2017-09-10 06:00:00","Douglas County Fairgrounds",NULL,"Castle Rock",CO,NULL
41,"Barker Days","Barker Days, held Sept. 8 from 9 a.m. to 3 p.m., welcomes hundreds of dogs with their owners and features a temporary dog park in the O’Brien Park ball field and H2O’Brien Pool, as well as dog-related vendors.",community,"2018-09-08 09:00:00","2018-09-08 15:00:00",NULL,"10795 Victorian Drive",Parker,CO,80138
42,"Doggie Splash and Pet Expo","NEW!  9:00 - 10:00 a.m. is reserved for small dogs only. 15 pounds and under and/or 15 inches in height and under.
The Doggie Splash caters to dogs and dog-lovers alike.  Summer is winding down so come and have a ball and cool off with your favorite four-legged friends and family at the Westridge outdoor pool (no humans in the pool,) 9650 Foothills Canyon Blvd, Highlands Ranch.  There is no better place for your ‘Fido’ to escape the summer heat, enjoy a cool dip and splish and splash at our per-friendly bash!.  Bring your canine companion and enjoy the vendors, and camaraderie.  And you don’t have to have a dog to come out.  People can come to visit the many vendors.  Enjoy one of the best gatherings of pet related vendors.   

Saturday, September 7, 2019• 9:00 a.m. – 10:00 a.m. small dog hour, 10:00 a.m. - 1:00 p.m. all social dogs  • Recreation Center at Westridge Outdoor Pool, 9650 Ridgeline Blvd, Highlands Ranch • Admission is $7 in advance, $10 at the door, per dog, and open to the public • Info:  HRCAonline.org or 303-791-2500  • For event status during inclement weather call 303-471-8888.",community,"2019-09-07 00:00:00","2019-09-07 00:00:00",NULL,"9650 Foothills Canyon Blvd","Highlands Ranch",CO,80129
43,"DCL Presents Craig Johnson","Beloved author Craig Johnson returns with the latest in his bestselling Longmire series, Depth of Winter. Tickets include the author's presentation, a hardcover copy of Depth of Winter, dessert bites, and a place in the signing line. Additional books will be available for purchase courtesy of Tattered Cover Book Store.",community,"2018-09-05 19:00:00","2018-09-05 21:00:00","Lone Tree Arts Center","10075 Commons Street","Lone Tree",CO,80124
44,"Community Street Party and Concert ","The Community Street Party and Concert is brought to you in partnership between Business Over Beverages and the Downtown Merchants Association. Gather in Festival Park on Tuesday, September 4, 2018 from 5pm - 8pm for networking, live music and adult beverages.",community,"2018-09-04 17:00:00","2018-09-04 20:00:00",NULL,"300 2nd Street","Castle Rock",CO,80104
45,"Party in the Pines","Join us for the annual Castle Pines Party in the Pines; a weekend long celebration including Vino in the Village on Friday, August 25th; Party in the Park on Saturday, August 26th, and Run Wild on Sunday, August 27th. VIno in the Village features wine tasting, food pairings, live music, and shopping at the Village at Castle Pines. Party in the Park, features food, live music, kids activities, vendor booths, beer and wine, with a fireworks display at dusk. The Run Wild event features a 9 mile, 4 mile, and 1K Color Me Wild fun run. Be sure to visit cppartyinthepines.com for ticket information. See you there!",general,"2017-08-25 06:00:00","2017-08-27 06:00:00","Elk Ridge Park and Village Center",NULL,"Castle Pines",CO,NULL
46,"Taste of Douglas County","Join friends and family as they sample food from over 50 restaurants and food service establishments at the 16th annual Taste of Douglas County. It will be held at the indoor, air conditioned Douglas County Events Center on Wednesday, August 23, 2016 from 5 to 8 pm. Tickets and information are available at  www.tasteofdouglascounty.com.",general,"2017-08-23 00:00:00","2017-08-23 00:00:00","DC Festival of Food & Wine",NULL,,CO,NULL
47,"Sunday Dinner","Join us for a new event, Sunday Dinner, on Sunday, August 19, 2018 from 4pm - 7pm. Bring your family and enjoy dinner in Festival Park. Visit the Downtown Castle Rock Facebook event page for more details closer to the event.",community,"2018-08-19 16:00:00","2018-08-19 19:00:00",NULL,"300 2nd Street","Castle Rock",CO,80104
48,"So Long to Summer 5K/10K and Family Fun Trek","The So Long to Summer 5K/10K and Family Fun Trek, held Aug. 11 at 8 a.m. at Salisbury Park, is a great event to grab your friends and family to run or walk and celebrate the last bit of summer.",race,"2018-08-11 08:00:00","2018-08-11 10:00:00",NULL,"11920 S. Motsenbocker Road",Parker,CO,80134
49,"The Motones","Join the Motones for a night of Motown hits at the Lone Tree Arts Center on Friday, August 11 at 8pm. Their repertoire includes hit songs from The Jackson 5, The Temptations, and Marvin Gaye, blended with current hits in the Motown style.",music,"2017-08-11 06:00:00","2017-08-11 06:00:00","Lone Tree Arts Center",NULL,"Lone Tree",CO,NULL
50,"Film in the Park","Plan to join the HRCA family summer tradition!  Bring a blanket and enjoy great FREE family movie on Friday August 17th at Civic Green Park starting at dusk!  Mark the date now!  Parental Guidance suggested.  Snacks available for purchase from Cornzapoppin and Kona Ice.

We will be watching the movie Coco at Civic Green Park, 9370 Ridgeline Blvd.   Sorry, no dogs allowed in the park.  For more Information, visit HRCAonline.org or call 303-791-2500.",community,"2018-08-10 20:30:00","2018-08-17 22:30:00",NULL,"9370 Ridgeline Blvd","Highlands Ranch",CO,80129
51,"Concert Under the Lights","Come to Downtown Castle Rock for a night of music at the Concert Under the Lights, Friday, August 10, 2018 from 6pm - 10pm. Gather under the lights on Wilcox Street for a summer night of music and food. Event held on Wilcox Street between 3rd and 5th Streets. Free parking at the Douglas County garage located at 3rd and Jerry.",community,"2018-08-10 18:00:00","2018-08-10 22:00:00","Wilcox Street",NULL,"Castle Rock",CO,NULL
52,"Film in the Park","Film in the Park
Fridays, August 2, 9, & 16
Civic Green Park
9370 Ridgeline Blvd.
FREE
8:15 p.m. or dusk

Plan to join the HRCA family summer tradition!  Bring a blanket and enjoy great FREE family movies!  Mark the date now!  Parental Guidance suggested.  Snacks available for purchase from Cornzapoppin.
August 2, Mary Poppins Returns*.  August 9, How to Train Your Dragon 3  August 16, Incredibles 2.  
*Come dressed as your favorite character and bring your camera and meet Mary Poppins!
Sorry, no dogs or glass allowed in the park.


Info:  visit HRCAonline.org or call 303-791-2500",community,"2019-08-09 20:30:00","2019-08-16 22:30:00",NULL,"9370 Ridgeline Blvd","Highlands Ranch",CO,80129
53,"An Evening with Andrea Bobotis","Local author Andrea Bobotis joins us to talk about her debut novel, The Last List of Miss Judith Kratt. Be among the first to hear about it from the author herself! A book sale and signing will follow the author’s talk. Adults.",community,"2019-08-02 18:30:00","2019-08-02 20:00:00",NULL,"10055 Library Way","Lone Tree",CO,80124
54,"Douglas County Fair and Rodeo","The Douglas County Fair and Rodeo is a family tradition featuring two entertainment stages, three PRCA Rodeos, Xtreme Bulls, Carnival, Mutton Bustin', Stick Horse Rodeo, Pancake Breakfast, 4-H and FFA exhibits - including livestock, general projects and the Jr. Livestock Sale.",general,"2018-08-02 14:00:00","2018-08-05 00:00:00",NULL,"500 Fairgrounds Drive","Castle Rock",CO,80104
55,"Boots and Brews","Join us after the Douglas County Fair Parade for Boots and Brews, 11am - 4pm in Festival Park in Downtown Castle Rock. Celebrate the Town's western heritage and enjoy live music, food, adult beverages from various breweries and free bounce houses and family activities.",community,"2018-07-28 11:00:00","2018-07-28 16:00:00",NULL,"300 2nd Street","Castle Rock",CO,80104
56,"Western Heritage Welcome","Castle Rock's Western Heritage Welcome weekend begins with a longhorn steer drive from our beautiful landmark, Rock Park, and heads south through historic Downtown. This event pays homage to Castle Rock's rich western history, as well as, welcomes the 99th Douglas County Fair and Rodeo taking place the following weekend. As hundreds align Perry Street for a glimpse of the cowboys, longhorns, and their calves, down the road authentic chuck wagons are preparing to give attendees a taste of the old west with slow-cooked, wood-fire methods from that time period. With this sanctioned Chuck Wagon Cook-off, cowboy cocktails, and a country music concert, Western Heritage Welcome draws in hundreds of attendees from the Front Range and beyond and keeps the Old West traditions of Colorado alive.",general,"2017-07-28 06:00:00","2017-07-28 06:00:00","Downtown Castle Rock",,"Castle Rock",CO,NULL
57,"Kids' TRY-athlon","Parker Parks and Recreation's Kids' TRY-athlon is a triathlon event for ages 6 to 12 held at the Parker Recreation Center on July 21 starting at 8 a.m.",race,"2018-07-21 08:00:00","2018-07-21 12:00:00",NULL,"17301 East Lincoln Avenue",Parker,CO,80134
58,"Fun in the Sun","Formerly known as Splash in the Park, Fun in the Sun is the same kid-oriented event in July that will be hosted at the Douglas County Fairgrounds. Activities include free bounce houses, water activities and other fun. ",community,"2018-07-17 11:00:00","2018-07-17 14:00:00",NULL,"500 Fairgrounds Road","Castle Rock",CO,80104
59,"Starlight Movie Night","Come down to Festival Park on July 14, 2018 at 6pm for a street party and starlight movie night showing Coco. Enjoy food vendors on site, family activities, free bounce houses, face painters, balloon artists and more. Movie begins at dusk!",community,"2018-07-14 18:00:00","2018-07-14 22:00:00",NULL,"300 2nd Street","Castle Rock",CO,80104
60,"Who Stole the Cookies?","Help solve a cookie caper! Use your sharp detective skills and forensic science to help Ms. Romero's class solve the mystery of who took the cookies for the bake sale. AGES 6-8. REGISTER NOW.",community,"2019-07-13 14:00:00","2019-07-13 16:00:00",NULL,"9292 S. Ridgeline Blvd","Highlands Ranch",CO,80129
61,"Who Stole the Cookies?","Help solve a cookie caper! Use your sharp detective skills and forensic science to help Ms. Romero's class solve the mystery of who took the cookies for the bake sale. AGES 6-8. REGISTER NOW.",community,"2019-07-13 14:00:00","2019-07-13 16:00:00",NULL,"9292 S. Ridgeline Blvd","Highlands Ranch",CO,80129
